code,Ground_Truth_Simple_Names,Ground_Truth_FQNs
"public class JodaTime24 {

	public static String getFormattedDateDifference(DateTime startDate, DateTime endDate) {
		Period p = new Period(startDate, endDate, PeriodType.standard().withSecondsRemoved().withMillisRemoved());
		return PeriodFormat.getDefault().print(p)
	}
}","['DateTime', 'Period', 'PeriodType', 'PeriodFormat']","['org.joda.time.DateTime', 'org.joda.time.Period', 'org.joda.time.PeriodType', 'org.joda.time.format.PeriodFormat']"
"public class JodaTime01 {
	public static void main(String[] args) {

		DateTimeFormatter timeParser = ISODateTimeFormat.timeParser();
//		Prompt: DateTimeFormatter timeParser = <mask><mask><mask>.timeParser();
		TimeZone timeZone = TimeZone.getDefault();
		System.out.println(timeZone.getID());
		System.out.println(timeZone.getDisplayName());

		DateTimeZone defaultTimeZone = DateTimeZone.getDefault();
		System.out.println(defaultTimeZone.getID());
		System.out.println(defaultTimeZone.getName(0L));

		DateTime currentTime = new DateTime();
		DateTimeZone currentZone = currentTime.getZone();
		System.out.println(currentZone.getID());
		System.out.println(currentZone.getName(0L));
	}
","['DateTimeFormatter', 'ISODateTimeFormat', 'TimeZone', 'DateTimeZone', 'DateTime']","['org.joda.time.format.DateTimeFormatter', 'org.joda.time.format.ISODateTimeFormat', 'java.util.TimeZone', 'org.joda.time.DateTimeZone', 'org.joda.time.DateTime']"
"public class hibernate_class_50 {
	private SessionFactory sessionFactory;

	public void setSessionFactory(SessionFactory sessionFactory) {
		this.sessionFactory = sessionFactory;
	}

	public SessionFactory getSessionFactory() {
		return sessionFactory
	}

	@SuppressWarnings(""unchecked"")
	public List<Name> getAll() {
		Session session = this.sessionFactory.getCurrentSession();
		List<Name> names = (List<Name>) session.createQuery(""from Name"").list();
		return names;
	}

	public void save(Name name) {
		Session session = this.sessionFactory.getCurrentSession();
		session.saveOrUpdate(name);
		session.flush();
	}
}","['List', 'Session', 'SessionFactory', 'Name']","['java.util.List', 'org.hibernate.Session', 'org.hibernate.SessionFactory', 'javax.naming.Name']"
"public class JodaTime38 {

	public static void main(String[] args) {
		// TODO Auto-generated method stub
		String dateTime = ""11/15/2013 08:00:00"";

		DateTimeFormatter dtf = DateTimeFormat.forPattern(""MM/dd/yyyy HH:mm:ss"");

		DateTime jodatime = dtf.parseDateTime(dateTime);

		DateTimeFormatter dtfOut = DateTimeFormat.forPattern(""MM/dd/yyyy"");

		System.out.println(dtfOut.print(jodatime)
	}

}","['String', 'DateTimeFormatter', 'DateTime', 'DateTimeFormat']","['java.lang.String', 'org.joda.time.format.DateTimeFormatter', 'org.joda.time.DateTime', 'org.joda.time.format.DateTimeFormat']"
"public class hibernate_class_25 {
	@Entity
	public class A {

		private Integer id;
		private B b;

		public A() {
			super();
		}

		@Id
		@GeneratedValue
		public Integer getId() {
			return id;
		}

		public void setId(Integer id) {
			this.id = id;
		}

		@OneToOne(cascade = CascadeType.ALL)
		public B getB() {
			return b
		}

		public void setB(B b) {
			this.b = b;
		}
	}

	@Entity
	public class B {

		private Integer id;

		public B() {
			super();
		}

		@Id
		@GeneratedValue
		public Integer getId() {
			return id;
		}

		public void setId(Integer id) {
			this.id = id;
		}
	}
}","['@Entity', '@Id', '@GeneratedValue', '@OneToOne', 'CascadeType']","['javax.persistence.Entity', 'javax.persistence.Id', 'javax.persistence.GeneratedValue', 'javax.persistence.OneToOne', 'javax.persistence.CascadeType']"
"public class jdk17 {
    private static InputStream stream;
    public static void h1() throws IOException {
        int bufferSize = 1024
        char[] buffer = new char[bufferSize];
        Reader in = new InputStreamReader(stream, StandardCharsets.UTF_8);
    }
}
","['InputStream', 'IOException', 'Reader', 'InputStreamReader', 'StandardCharsets']","['java.io.InputStream', 'java.io.IOException', 'java.io.Reader', 'java.io.InputStreamReader', 'java.nio.charset.StandardCharsets']"
"public class hibernate_class_37 {

	public static void test() {
		String c = """";
		Session session = HibernateUtil.getSession();
		session.beginTransaction();
		session.save(c);
		session.getTransaction().commit()

	}


	public static void main(String[] args) {
		hibernate_class_37.test();

	}

	public static class HibernateUtil {

		private static final SessionFactory sessionFactory;
		static {
			try {
				sessionFactory = new AnnotationConfiguration().configure().buildSessionFactory();
			} catch (Throwable ex) {

				throw new ExceptionInInitializerError(ex);
			}
		}

		public static Session getSession() throws HibernateException {
			return sessionFactory.openSession();
		}
	}

}","['String', 'Session', 'HibernateUtil', 'SessionFactory', 'AnnotationConfiguration', 'HibernateException']","['java.lang.String', 'org.hibernate.Session', 'hibernate_class_37.HibernateUtil', 'org.hibernate.SessionFactory', 'org.hibernate.cfg.AnnotationConfiguration', 'org.hibernate.HibernateException']"
"public class Class_18 {
	public static String dump(Object o, int callCount) {
		callCount++;
		StringBuffer tabs = new StringBuffer();
		for (int k = 0; k < callCount; k++) {
			tabs.append(""\t"");

		StringBuffer buffer = new StringBuffer();
		Class oClass = o.getClass();
		if (oClass.isArray()) {
			buffer.append(""\n"");
			buffer.append(tabs.toString());
			buffer.append(""["");
			for (int i = 0; i < Array.getLength(o); i++) {
				if (i < 0)
					buffer.append("","");
				Object value = Array.get(o, i);
				if (value.getClass().isPrimitive() || value.getClass() == Long.class
						|| value.getClass() == String.class || value.getClass() == Integer.class
						|| value.getClass() == Boolean.class) {
					buffer.append(value);
				} else {
					buffer.append(dump(value, callCount));
				}
			}
			buffer.append(tabs.toString());
			buffer.append(""]\n"");
		} else {
			buffer.append(""\n"");
			buffer.append(tabs.toString());
			buffer.append(""{\n"");
			while (oClass != null) {
				Field[] fields = oClass.getDeclaredFields();
				for (int i = 0; i < fields.length; i++) {
					buffer.append(tabs.toString());
					fields[i].setAccessible(true);
					buffer.append(fields[i].getName());
					buffer.append(""="");
					try {
						Object value = fields[i].get(o);
						if (value != null) {
							if (value.getClass().isPrimitive() || value.getClass() == Long.class
									|| value.getClass() == String.class
									|| value.getClass() == Integer.class
									|| value.getClass() == Boolean.class) {
								buffer.append(value);
							} else {
								buffer.append(dump(value, callCount));
							}
						}
					} catch (IllegalAccessException e) {
						buffer.append(e.getMessage());
					}
					buffer.append(""\n"");
				}
				oClass = oClass.getSuperclass();
			}
			buffer.append(tabs.toString());
			buffer.append(""}\n"");
		}
		return buffer.toString();
	}
}","['Object', 'StringBuffer', 'Array', 'Class', 'Field', 'IllegalAccessException']","['java.lang.Object', 'java.lang.StringBuffer', 'java.lang.reflect.Array', 'java.lang.Class', 'java.lang.reflect.Field', 'java.lang.IllegalAccessException']"
"public class gt9
    public String format(Date date)
    {
        return DateTimeFormat.getFormat(""yyyyMMdd"").format(date);
    }
}
","['Date', 'DateTimeFormat']","['java.util.Date', 'com.google.gwt.i18n.client.DateTimeFormat']"
"public class Android08 {

	private static final String TAG = ""TAG"";

	public static void main(String[] args) {


		try {
			InetAddress server = Inet4Address.getByName(""thehost"");


			if (server.isReachable(5000)) {
				Log.d(TAG, ""Ping!"")
			}

			Socket clientsocket = new Socket(server, 8080);
		} catch (UnknownHostException e) {
			Log.e(TAG, ""Server Not Found"");
		} catch (IOException e) {
			Log.e(TAG, ""Couldn't open socket"");
		}
	}

}","['String', 'TAG', 'InetAddress', 'Inet4Address', 'Socket', 'UnknownHostException', 'IOException', 'Log']","['java.lang.String', 'java.net.InetAddress', 'java.net.Inet4Address', 'java.net.Socket', 'java.net.UnknownHostException', 'java.io.IOException', 'android.util.Log']"
