code,compileable,Ground_Truth_Simple_Names,Ground_Truth_FQNs,without_import,filename,simplenames,FQNs,with_import,ERROR_For_With_import,ERROR_MESSAGE_EXPLANATION,Code_Fix,ERROR_For_Code_Fix
"package android;

import android.app.Activity;
import android.os.Bundle;

public class Android02 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);
		setContentView(R.layout.activity_list_item);
	}
}",True,"['Activity', 'Bundle']","['android.app.Activity', 'android.os.Bundle']","public class Android02 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);
		setContentView(R.layout.activity_list_item)
	}
}",Android02.java,"Activity
Bundle
R","android.app.Activity
android.os.Bundle
com.example.app.R","import android.app.Activity;
import android.os.Bundle;
import com.example.app.R;
public class Android02 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);
		setContentView(R.layout.activity_list_item)
	}
}","Android02.java:9: error: ';' expected
		setContentView(R.layout.activity_list_item)
		                                           ^
1 error
","// The error occurs because there is a missing semicolon at the end of the setContentView method call.
// This causes a syntax error, and the compiler is unable to parse the code correctly.
// To fix the problem, add a semicolon at the end of the setContentView method call.","import android.app.Activity;
import android.os.Bundle;
import com.example.app.R;
public class Android02 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);
		setContentView(R.layout.activity_list_item);
	}
}","Android02.java:3: error: package com.example.app does not exist
import com.example.app.R;
                      ^
Android02.java:9: error: package R does not exist
		setContentView(R.layout.activity_list_item);
		                ^
2 errors
"
"package android;
//ID = 26362

import android.graphics.drawable.Drawable;
import com.google.android.maps.GeoPoint;
import com.google.android.maps.ItemizedOverlay;
import com.google.android.maps.OverlayItem;

public class Android03 extends ItemizedOverlay<OverlayItem> {

	public Android03(Drawable defaultMarker) {
		super(defaultMarker);
		populate();
	}

	@Override
	protected OverlayItem createItem(int index) {
		Double lat = (index + 37.422006) * 1E6;
		Double lng = -122.084095 * 1E6;
		GeoPoint point = new GeoPoint(lat.intValue(), lng.intValue());

		OverlayItem oi = new OverlayItem(point, ""Marker"", ""Marker Text"");
		return oi;
	}

	@Override
	public int size() {
		return 5;
	}
}",True,"['Drawable', 'GeoPoint', 'ItemizedOverlay', 'OverlayItem']","['android.graphics.drawable.Drawable', 'com.google.android.maps.GeoPoint', 'com.google.android.maps.ItemizedOverlay', 'com.google.android.maps.OverlayItem']","public class Android03 extends ItemizedOverlay<OverlayItem> {

	public Android03(Drawable defaultMarker) {
		super(defaultMarker);
		populate();
	}

	@Override
	protected OverlayItem createItem(int index) {
		Double lat = (index + 37.422006) * 1E6;
		Double lng = -122.084095 * 1E6;
		GeoPoint point = new GeoPoint(lat.intValue(), lng.intValue());

		OverlayItem oi = new OverlayItem(point, ""Marker"", ""Marker Text"");
		return oi;
	}

	@Override
	public int size() {
		return 5;

}",Android03.java,"Drawable
ItemizedOverlay
OverlayItem
Double
GeoPoint","android.graphics.drawable.Drawable
com.google.android.maps.ItemizedOverlay
com.google.android.maps.OverlayItem
java.lang.Double
com.google.android.maps.GeoPoint","import android.graphics.drawable.Drawable;
import com.google.android.maps.ItemizedOverlay;
import com.google.android.maps.OverlayItem;
import java.lang.Double;
import com.google.android.maps.GeoPoint;
public class Android03 extends ItemizedOverlay<OverlayItem> {

	public Android03(Drawable defaultMarker) {
		super(defaultMarker);
		populate();
	}

	@Override
	protected OverlayItem createItem(int index) {
		Double lat = (index + 37.422006) * 1E6;
		Double lng = -122.084095 * 1E6;
		GeoPoint point = new GeoPoint(lat.intValue(), lng.intValue());

		OverlayItem oi = new OverlayItem(point, ""Marker"", ""Marker Text"");
		return oi;
	}

	@Override
	public int size() {
		return 5;

}","Android03.java:27: error: reached end of file while parsing
}
 ^
1 error
","// The error occurs because the code is missing a closing brace for the size() method.
// This causes a syntax error, and the compiler is unable to parse the code correctly.
// To fix the problem, add a closing brace for the size() method at the end of the code.","import android.graphics.drawable.Drawable;
import com.google.android.maps.ItemizedOverlay;
import com.google.android.maps.OverlayItem;
import java.lang.Double;
import com.google.android.maps.GeoPoint;
public class Android03 extends ItemizedOverlay<OverlayItem> {

	public Android03(Drawable defaultMarker) {
		super(defaultMarker);
		populate();
	}

	@Override
	protected OverlayItem createItem(int index) {
		Double lat = (index + 37.422006) * 1E6;
		Double lng = -122.084095 * 1E6;
		GeoPoint point = new GeoPoint(lat.intValue(), lng.intValue());

		OverlayItem oi = new OverlayItem(point, ""Marker"", ""Marker Text"");
		return oi;
	}

	@Override
	public int size() {
		return 5;
	}
}",True
"package android;
//ID = 151777

import android.app.Activity;
import android.os.Bundle;
import android.widget.TextView;

public class Android04 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);

		mTextView = new TextView(this);

		if (savedInstanceState == null) {
			mTextView.setText(""Welcome to HelloAndroid!"");
		} else {
			mTextView.setText(""Welcome back."");
		}

		setContentView(mTextView);
	}

	private TextView mTextView = null;
}",True,"['Activity', 'Bundle', 'TextView']","['android.app.Activity', 'android.os.Bundle', 'android.widget.TextView']","public class Android04 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);

		mTextView = new TextView(this);

		if (savedInstanceState == null)
			mTextView.setText(""Welcome to HelloAndroid!"");
		} else {
			mTextView.setText(""Welcome back."");
		}

		setContentView(mTextView);
	}

	private TextView mTextView = null;
}",Android04.java,"Activity
Bundle
TextView","android.app.Activity
android.os.Bundle
android.widget.TextView","import android.app.Activity;
import android.os.Bundle;
import android.widget.TextView;
public class Android04 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);

		mTextView = new TextView(this);

		if (savedInstanceState == null)
			mTextView.setText(""Welcome to HelloAndroid!"");
		} else {
			mTextView.setText(""Welcome back."");
		}

		setContentView(mTextView);
	}

	private TextView mTextView = null;
}","Android04.java:14: error: illegal start of type
		} else {
		  ^
Android04.java:18: error: invalid method declaration; return type required
		setContentView(mTextView);
		^
Android04.java:18: error: <identifier> expected
		setContentView(mTextView);
		                        ^
Android04.java:21: error: class, interface, enum, or record expected
	private TextView mTextView = null;
	        ^
Android04.java:22: error: class, interface, enum, or record expected
}
^
5 errors
","// The error occurs because there is an extra closing brace before the else statement,
// which causes a syntax error. Additionally, there are several other syntax errors,
// such as a missing return type for the setContentView method, and a missing identifier
// for the TextView variable declaration. To fix the problem, remove the extra closing brace,
// add the return type for the setContentView method, and give the TextView variable a name.","import android.app.Activity;
import android.os.Bundle;
import android.widget.TextView;

public class Android04 extends Activity {

    private TextView textView;

    @Override
    public void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);

        textView = new TextView(this);

        if (savedInstanceState == null) {
            textView.setText(""Welcome to HelloAndroid!"");
        } else {
            textView.setText(""Welcome back."");
        }

        setContentView(textView);
    }
}",True
"package android;
//ID = 36881

import android.graphics.drawable.Drawable;
import android.widget.TabHost;
import android.widget.TabHost.TabSpec;

public class Android05 {

	public static void main(String[] args) {
		TabHost mTabs = null;
		TabSpec ts = mTabs.newTabSpec(""tab"");
		Drawable iconResource = null;
		ts.setIndicator(""TabTitle"", iconResource);

		mTabs.addTab(ts);
		mTabs.getTabWidget().removeAllViews();
		mTabs.clearAllTabs();

	}

}",True,"['Drawable', 'TabHost', 'TabSpec']","['android.graphics.drawable.Drawable', 'android.widget.TabHost', 'android.widget.TabHost.TabSpec']","public class Android05 {

	public static void main(String[] args) {
		TabHost mTabs = null;
		TabSpec ts = mTabs.newTabSpec(""tab"");
		Drawable iconResource = null;
		ts.setIndicator(""TabTitle"", iconResource)

		mTabs.addTab(ts);
		mTabs.getTabWidget().removeAllViews();
		mTabs.clearAllTabs();

	}

}",Android05.java,"TabHost
TabSpec
Drawable","android.widget.TabHost
android.widget.TabSpec
android.graphics.drawable.Drawable","import android.widget.TabHost;
import android.widget.TabSpec;
import android.graphics.drawable.Drawable;
public class Android05 {

	public static void main(String[] args) {
		TabHost mTabs = null;
		TabSpec ts = mTabs.newTabSpec(""tab"");
		Drawable iconResource = null;
		ts.setIndicator(""TabTitle"", iconResource)

		mTabs.addTab(ts);
		mTabs.getTabWidget().removeAllViews();
		mTabs.clearAllTabs();

	}

}","Android05.java:10: error: ';' expected
		ts.setIndicator(""TabTitle"", iconResource)
		                                         ^
1 error
","// The error occurs because there is a missing semicolon at the end of the line where the setIndicator method is called.
// This causes a syntax error, and the compiler is unable to parse the rest of the code correctly.
// To fix the problem, add a semicolon at the end of the line where the setIndicator method is called.","import android.widget.TabHost;
import android.widget.TabSpec;
import android.graphics.drawable.Drawable;
public class Android05 {

	public static void main(String[] args) {
		TabHost mTabs = null;
		TabSpec ts = mTabs.newTabSpec(""tab"");
		Drawable iconResource = null;
		ts.setIndicator(""TabTitle"", iconResource);

		mTabs.addTab(ts);
		mTabs.getTabWidget().removeAllViews();
		mTabs.clearAllTabs();

	}

}","Android05.java:2: error: cannot find symbol
import android.widget.TabSpec;
                     ^
  symbol:   class TabSpec
  location: package android.widget
Android05.java:8: error: cannot find symbol
		TabSpec ts = mTabs.newTabSpec(""tab"");
		^
  symbol:   class TabSpec
  location: class Android05
2 errors
"
"package android;

import android.view.Gravity;
import android.view.ViewGroup;
import android.widget.LinearLayout;


public class Android06 {

	public static void main(String[] args) {


		LinearLayout zoomView = null;

		zoomView.setLayoutParams(
				new ViewGroup.LayoutParams(ViewGroup.LayoutParams.WRAP_CONTENT, ViewGroup.LayoutParams.WRAP_CONTENT));

		zoomView.setGravity(Gravity.BOTTOM | Gravity.CENTER_HORIZONTAL);
	}

}",True,"['Gravity', 'ViewGroup', 'LinearLayout']","['android.view.Gravity', 'android.view.ViewGroup', 'android.widget.LinearLayout']","public class Android06 {

	public static void main(String[] args)


		LinearLayout zoomView = null;

		zoomView.setLayoutParams(
				new ViewGroup.LayoutParams(ViewGroup.LayoutParams.WRAP_CONTENT, ViewGroup.LayoutParams.WRAP_CONTENT));

		zoomView.setGravity(Gravity.BOTTOM | Gravity.CENTER_HORIZONTAL);
	}

}",Android06.java,"LinearLayout
ViewGroup
LayoutParams
Gravity","android.widget.LinearLayout
android.view.ViewGroup
android.view.ViewGroup.LayoutParams
android.view.Gravity","import android.widget.LinearLayout;
import android.view.ViewGroup;
import android.view.ViewGroup.LayoutParams;
import android.view.Gravity;
public class Android06 {

	public static void main(String[] args)


		LinearLayout zoomView = null;

		zoomView.setLayoutParams(
				new ViewGroup.LayoutParams(ViewGroup.LayoutParams.WRAP_CONTENT, ViewGroup.LayoutParams.WRAP_CONTENT));

		zoomView.setGravity(Gravity.BOTTOM | Gravity.CENTER_HORIZONTAL);
	}

}","Android06.java:7: error: ';' expected
	public static void main(String[] args)
	                                      ^
Android06.java:12: error: <identifier> expected
		zoomView.setLayoutParams(
		                        ^
Android06.java:13: error: illegal start of type
				new ViewGroup.LayoutParams(ViewGroup.LayoutParams.WRAP_CONTENT, ViewGroup.LayoutParams.WRAP_CONTENT));
				^
Android06.java:15: error: <identifier> expected
		zoomView.setGravity(Gravity.BOTTOM | Gravity.CENTER_HORIZONTAL);
		                   ^
Android06.java:15: error: <identifier> expected
		zoomView.setGravity(Gravity.BOTTOM | Gravity.CENTER_HORIZONTAL);
		                                  ^
Android06.java:18: error: class, interface, enum, or record expected
}
^
6 errors
","// The error occurs because the code is missing a curly brace to close the main method.
// This causes a syntax error, and the compiler is unable to parse the rest of the code.
// Additionally, there are several other syntax errors in the code, such as missing semicolons,
// missing variable declarations, and missing import statements.
// To fix the problem, add the missing curly brace to close the main method,
// add the missing semicolons, declare the zoomView variable, and add the necessary import statements.","import android.widget.LinearLayout;
import android.view.ViewGroup;
import android.view.ViewGroup.LayoutParams;
import android.view.Gravity;

public class Android06 {

    public static void main(String[] args) {
        LinearLayout zoomView = new LinearLayout(null);
        zoomView.setLayoutParams(new ViewGroup.LayoutParams(ViewGroup.LayoutParams.WRAP_CONTENT, ViewGroup.LayoutParams.WRAP_CONTENT));
        zoomView.setGravity(Gravity.BOTTOM | Gravity.CENTER_HORIZONTAL);
    }
}",True
"package android;

import android.app.Activity;
import android.os.Bundle;
import android.view.View;
import android.widget.ArrayAdapter;

//ID = 288044
public class Android07 extends Activity {

	String[] mainItems = { ""Inbox"", ""Projects"", ""Contexts"", ""Next Actions"" };

	@Override
	public void onCreate(Bundle icicle) {
		super.onCreate(icicle);
		setContentView(R.layout.activity_list_item);

		setListAdapter(new ArrayAdapter<String>(this, R.layout.simple_list_item_1, mainItems));
		registerForContextMenu(getListView());
	}

	private void setListAdapter(ArrayAdapter<String> arrayAdapter) {


	}

	private View getListView() {
		return null;
	}

}",True,"['Activity', 'Bundle', 'View', 'ArrayAdapter']","['android.app.Activity', 'android.os.Bundle', 'android.view.View', 'android.widget.ArrayAdapter']","public class Android07 extends Activity {

	String[] mainItems = { ""Inbox"", ""Projects"", ""Contexts"", ""Next Actions"" };

	@Override
	public void onCreate(Bundle icicle) {
		super.onCreate(icicle)
		setContentView(R.layout.activity_list_item);

		setListAdapter(new ArrayAdapter<String>(this, R.layout.simple_list_item_1, mainItems));
		registerForContextMenu(getListView());
	}

	private void setListAdapter(ArrayAdapter<String> arrayAdapter) {


	}

	private View getListView() {
		return null;
	}

}",Android07.java,"Activity
Bundle
ArrayAdapter
R
View","android.app.Activity
android.os.Bundle
android.widget.ArrayAdapter
com.example.app.R
android.view.View","import android.app.Activity;
import android.os.Bundle;
import android.widget.ArrayAdapter;
import com.example.app.R;
import android.view.View;
public class Android07 extends Activity {

	String[] mainItems = { ""Inbox"", ""Projects"", ""Contexts"", ""Next Actions"" };

	@Override
	public void onCreate(Bundle icicle) {
		super.onCreate(icicle)
		setContentView(R.layout.activity_list_item);

		setListAdapter(new ArrayAdapter<String>(this, R.layout.simple_list_item_1, mainItems));
		registerForContextMenu(getListView());
	}

	private void setListAdapter(ArrayAdapter<String> arrayAdapter) {


	}

	private View getListView() {
		return null;
	}

}","Android07.java:12: error: ';' expected
		super.onCreate(icicle)
		                      ^
1 error
","The error occurs because there is a missing semicolon at the end of the super.onCreate(icicle) statement in the onCreate method. This causes a syntax error, and the compiler is unable to parse the code correctly. To fix the problem, add a semicolon at the end of the statement.","import android.app.Activity;
import android.os.Bundle;
import android.widget.ArrayAdapter;
import com.example.app.R;
import android.view.View;

public class Android07 extends Activity {

    String[] mainItems = { ""Inbox"", ""Projects"", ""Contexts"", ""Next Actions"" };

    @Override
    public void onCreate(Bundle icicle) {
        super.onCreate(icicle);
        setContentView(R.layout.activity_list_item);

        setListAdapter(new ArrayAdapter<String>(this, R.layout.simple_list_item_1, mainItems));
        registerForContextMenu(getListView());
    }

    private void setListAdapter(ArrayAdapter<String> arrayAdapter) {

    }

    private View getListView() {
        return null;
    }

}","Android07.java:4: error: package com.example.app does not exist
import com.example.app.R;
                      ^
Android07.java:14: error: package R does not exist
        setContentView(R.layout.activity_list_item);
                        ^
Android07.java:16: error: package R does not exist
        setListAdapter(new ArrayAdapter<String>(this, R.layout.simple_list_item_1, mainItems));
                                                       ^
3 errors
"
"package android;

import android.util.Log;

import java.io.IOException;
import java.net.Inet4Address;
import java.net.InetAddress;
import java.net.Socket;
import java.net.UnknownHostException;

//ID = 442496
public class Android08 {

	private static final String TAG = ""TAG"";

	public static void main(String[] args) {


		try {
			InetAddress server = Inet4Address.getByName(""thehost"");


			if (server.isReachable(5000)) {
				Log.d(TAG, ""Ping!"");
			}

			Socket clientsocket = new Socket(server, 8080);
		} catch (UnknownHostException e) {
			Log.e(TAG, ""Server Not Found"");
		} catch (IOException e) {
			Log.e(TAG, ""Couldn't open socket"");
		}
	}

}",True,"['Log', 'IOException', 'Inet4Address', 'InetAddress', 'Socket', 'UnknownHostException']","['android.util.Log', 'java.io.IOException', 'java.net.Inet4Address', 'java.net.InetAddress', 'java.net.Socket', 'java.net.UnknownHostException']","public class Android08 {

	private static final String TAG = ""TAG"";

	public static void main(String[] args) {


		try {
			InetAddress server = Inet4Address.getByName(""thehost"");


			if (server.isReachable(5000)) {
				Log.d(TAG, ""Ping!"")
			}

			Socket clientsocket = new Socket(server, 8080);
		} catch (UnknownHostException e) {
			Log.e(TAG, ""Server Not Found"");
		} catch (IOException e) {
			Log.e(TAG, ""Couldn't open socket"");
		}
	}

}",Android08.java,"InetAddress
Inet4Address
Socket
UnknownHostException
IOException
Log","java.net.InetAddress
java.net.Inet4Address
java.net.Socket
java.net.UnknownHostException
java.io.IOException
android.util.Log","import java.net.InetAddress;
import java.net.Inet4Address;
import java.net.Socket;
import java.net.UnknownHostException;
import java.io.IOException;
import android.util.Log;
public class Android08 {

	private static final String TAG = ""TAG"";

	public static void main(String[] args) {


		try {
			InetAddress server = Inet4Address.getByName(""thehost"");


			if (server.isReachable(5000)) {
				Log.d(TAG, ""Ping!"")
			}

			Socket clientsocket = new Socket(server, 8080);
		} catch (UnknownHostException e) {
			Log.e(TAG, ""Server Not Found"");
		} catch (IOException e) {
			Log.e(TAG, ""Couldn't open socket"");
		}
	}

}","Android08.java:19: error: ';' expected
				Log.d(TAG, ""Ping!"")
				                   ^
1 error
","The error occurs because there is a missing semicolon at the end of the Log.d() statement. This causes a syntax error, and the compiler is unable to parse the code correctly. To fix the problem, add a semicolon at the end of the Log.d() statement.","import java.net.InetAddress;
import java.net.Inet4Address;
import java.net.Socket;
import java.net.UnknownHostException;
import java.io.IOException;
import android.util.Log;
public class Android08 {

	private static final String TAG = ""TAG"";

	public static void main(String[] args) {


		try {
			InetAddress server = Inet4Address.getByName(""thehost"");


			if (server.isReachable(5000)) {
				Log.d(TAG, ""Ping!"");
			}

			Socket clientsocket = new Socket(server, 8080);
		} catch (UnknownHostException e) {
			Log.e(TAG, ""Server Not Found"");
		} catch (IOException e) {
			Log.e(TAG, ""Couldn't open socket"");
		}
	}

}",True
"package android;
//ID = 522800

import android.os.Bundle;
import android.widget.TextView;

import java.util.Timer;
import java.util.TimerTask;

public class Android09 {
	float seconds;
	public Timer gametimer;

	void updatecount() {
		TextView t = (TextView) findViewById(R.id.copy);
		t.setText(""Score: 10 - Time: "" + seconds + "" seconds"");
		t.postInvalidate();
	}

	private TextView findViewById(int topscore) {

		return null;
	}

	public void onCreate(Bundle sis) {

		gametimer.schedule(new TimerTask() {
			public void run() {
				seconds += 0.1;
				updatecount();
			}
		}, 100, 100);
	}
}",True,"['Bundle', 'TextView', 'Timer', 'TimerTask']","['android.os.Bundle', 'android.widget.TextView', 'java.util.Timer', 'java.util.TimerTask']","public class Android09 {
	float seconds;
	public Timer gametimer;

	void updatecount() {
		TextView t = (TextView) findViewById(R.id.copy);
		t.setText(""Score: 10 - Time: "" + seconds + "" seconds"");
		t.postInvalidate()
	}

	private TextView findViewById(int topscore) {

		return null;
	}

	public void onCreate(Bundle sis) {

		gametimer.schedule(new TimerTask() {
			public void run() {
				seconds += 0.1;
				updatecount();
			}
		}, 100, 100);
	}
}",Android09.java,"float
Timer
TextView
Bundle
TimerTask","android.widget.TextView
android.os.Bundle
java.util.Timer
java.util.TimerTask","import android.widget.TextView;
import android.os.Bundle;
import java.util.Timer;
import java.util.TimerTask;
public class Android09 {
	float seconds;
	public Timer gametimer;

	void updatecount() {
		TextView t = (TextView) findViewById(R.id.copy);
		t.setText(""Score: 10 - Time: "" + seconds + "" seconds"");
		t.postInvalidate()
	}

	private TextView findViewById(int topscore) {

		return null;
	}

	public void onCreate(Bundle sis) {

		gametimer.schedule(new TimerTask() {
			public void run() {
				seconds += 0.1;
				updatecount();
			}
		}, 100, 100);
	}
}","Android09.java:12: error: ';' expected
		t.postInvalidate()
		                  ^
1 error
","// The error occurs because there is a missing semicolon at the end of the t.postInvalidate() statement.
// This causes a syntax error, and the compiler is unable to parse the code correctly.
// To fix the problem, add a semicolon at the end of the statement.","import android.widget.TextView;
import android.os.Bundle;
import java.util.Timer;
import java.util.TimerTask;
public class Android09 {
	float seconds;
	public Timer gametimer;

	void updatecount() {
		TextView t = (TextView) findViewById(R.id.copy);
		t.setText(""Score: 10 - Time: "" + seconds + "" seconds"");
		t.postInvalidate();
	}

	private TextView findViewById(int topscore) {

		return null;
	}

	public void onCreate(Bundle sis) {

		gametimer.schedule(new TimerTask() {
			public void run() {
				seconds += 0.1;
				updatecount();
			}
		}, 100, 100);
	}
}","Android09.java:10: error: package R does not exist
		TextView t = (TextView) findViewById(R.id.copy);
		                                      ^
1 error
"
"package android;

import android.os.SystemClock;
import android.util.Log;
import android.widget.Chronometer;

//ID = 526524
public class Android10 {

	public static void main(String[] args) {


		Chronometer t = (Chronometer) findViewById(R.id.copy);
		long time = SystemClock.elapsedRealtime() - t.getBase();
		Log.d(null, ""Was: "" + time);
		t.setBase(SystemClock.elapsedRealtime());
		t.start();

	}

	private static Chronometer findViewById(int toptime) {

		return null;
	}

}",True,"['SystemClock', 'Log', 'Chronometer']","['android.os.SystemClock', 'android.util.Log', 'android.widget.Chronometer']","public class Android10 {

	public static void main(String[] args) {


		Chronometer t = (Chronometer) findViewById(R.id.copy);
		long time = SystemClock.elapsedRealtime() - t.getBase();
		Log.d(null, ""Was: "" + time)
		t.setBase(SystemClock.elapsedRealtime());
		t.start();

	}

	private static Chronometer findViewById(int toptime) {

		return null;
	}

}",Android10.java,"Chronometer
SystemClock
Log","android.widget.Chronometer
android.os.SystemClock
android.util.Log","import android.widget.Chronometer;
import android.os.SystemClock;
import android.util.Log;
public class Android10 {

	public static void main(String[] args) {


		Chronometer t = (Chronometer) findViewById(R.id.copy);
		long time = SystemClock.elapsedRealtime() - t.getBase();
		Log.d(null, ""Was: "" + time)
		t.setBase(SystemClock.elapsedRealtime());
		t.start();

	}

	private static Chronometer findViewById(int toptime) {

		return null;
	}

}","Android10.java:11: error: ';' expected
		Log.d(null, ""Was: "" + time)
		                           ^
1 error
","// The error occurs because there is a missing semicolon at the end of the Log.d() statement.
// This causes a syntax error, and the compiler is unable to parse the rest of the code correctly.
// To fix the problem, add a semicolon at the end of the Log.d() statement.","import android.widget.Chronometer;
import android.os.SystemClock;
import android.util.Log;
public class Android10 {

	public static void main(String[] args) {


		Chronometer t = (Chronometer) findViewById(R.id.copy);
		long time = SystemClock.elapsedRealtime() - t.getBase();
		Log.d(null, ""Was: "" + time);
		t.setBase(SystemClock.elapsedRealtime());
		t.start();

	}

	private static Chronometer findViewById(int toptime) {

		return null;
	}

}","Android10.java:9: error: package R does not exist
		Chronometer t = (Chronometer) findViewById(R.id.copy);
		                                            ^
1 error
"
"package android;
//ID = 531324

import android.content.Context;
import android.graphics.Canvas;
import android.location.Location;
import com.google.android.maps.GeoPoint;
import com.google.android.maps.MapView;
import com.google.android.maps.MyLocationOverlay;

public class Android11 extends MyLocationOverlay {

	public Android11(Context arg0, MapView arg1) {
		super(arg0, arg1);

	}

	@Override
	public void drawMyLocation(Canvas canvas, MapView mapView, Location lastFix, GeoPoint myLocation, long when) {
		super.drawMyLocation(canvas, mapView, lastFix, myLocation, when);

		Location bLocation = new Location(""reverseGeocoded"");
		bLocation.setLatitude(FindList.gpslat);
		bLocation.setLongitude(FindList.gpslong);
		Location aLocation = new Location(""reverseGeocoded"");
		aLocation.setLatitude(myLocation.getLatitudeE6());
		aLocation.setLongitude(myLocation.getLongitudeE6());
		aLocation.set(aLocation);
		bLocation.set(bLocation);

		int distance = (int) aLocation.distanceTo(bLocation);
		String str = "" ("" + String.valueOf(distance) + "" meters)"";
	}

	static final class FindList {
		public static int gpslat = 1;
		public static int gpslong = 1;
	}
}",True,"['Context', 'Canvas', 'Location', 'GeoPoint', 'MapView', 'MyLocationOverlay']","['android.content.Context', 'android.graphics.Canvas', 'android.location.Location', 'com.google.android.maps.GeoPoint', 'com.google.android.maps.MapView', 'com.google.android.maps.MyLocationOverlay']","public class Android11 extends MyLocationOverlay {

	public Android11(Context arg0, MapView arg1) {
		super(arg0, arg1);

	}

	@Override
	public void drawMyLocation(Canvas canvas, MapView mapView, Location lastFix, GeoPoint myLocation, long when) {
		super.drawMyLocation(canvas, mapView, lastFix, myLocation, when);

		Location bLocation = new Location(""reverseGeocoded"");
		bLocation.setLatitude(FindList.gpslat);
		bLocation.setLongitude(FindList.gpslong);
		Location aLocation = new Location(""reverseGeocoded"");
		aLocation.setLatitude(myLocation.getLatitudeE6());
		aLocation.setLongitude(myLocation.getLongitudeE6());
		aLocation.set(aLocation)
		bLocation.set(bLocation);

		int distance = (int) aLocation.distanceTo(bLocation);
		String str = "" ("" + String.valueOf(distance) + "" meters)"";
	}

	static final class FindList {
		public static int gpslat = 1;
		public static int gpslong = 1;
	}
}",Android11.java,"Context
MapView
Canvas
Location
GeoPoint","android.content.Context
com.google.android.maps.MapView
android.graphics.Canvas
android.location.Location
com.google.android.maps.GeoPoint","import android.content.Context;
import com.google.android.maps.MapView;
import android.graphics.Canvas;
import android.location.Location;
import com.google.android.maps.GeoPoint;
public class Android11 extends MyLocationOverlay {

	public Android11(Context arg0, MapView arg1) {
		super(arg0, arg1);

	}

	@Override
	public void drawMyLocation(Canvas canvas, MapView mapView, Location lastFix, GeoPoint myLocation, long when) {
		super.drawMyLocation(canvas, mapView, lastFix, myLocation, when);

		Location bLocation = new Location(""reverseGeocoded"");
		bLocation.setLatitude(FindList.gpslat);
		bLocation.setLongitude(FindList.gpslong);
		Location aLocation = new Location(""reverseGeocoded"");
		aLocation.setLatitude(myLocation.getLatitudeE6());
		aLocation.setLongitude(myLocation.getLongitudeE6());
		aLocation.set(aLocation)
		bLocation.set(bLocation);

		int distance = (int) aLocation.distanceTo(bLocation);
		String str = "" ("" + String.valueOf(distance) + "" meters)"";
	}

	static final class FindList {
		public static int gpslat = 1;
		public static int gpslong = 1;
	}
}","Android11.java:23: error: ';' expected
		aLocation.set(aLocation)
		                        ^
1 error
","// The error occurs because there is a missing semicolon at the end of the line where aLocation is being set to itself.
// This causes a syntax error, and the compiler is unable to parse the code correctly.
// To fix the problem, add a semicolon at the end of the line where aLocation is being set to itself.","import android.content.Context;
import com.google.android.maps.MapView;
import android.graphics.Canvas;
import android.location.Location;
import com.google.android.maps.GeoPoint;
public class Android11 extends MyLocationOverlay {

	public Android11(Context arg0, MapView arg1) {
		super(arg0, arg1);

	}

	@Override
	public void drawMyLocation(Canvas canvas, MapView mapView, Location lastFix, GeoPoint myLocation, long when) {
		super.drawMyLocation(canvas, mapView, lastFix, myLocation, when);

		Location bLocation = new Location(""reverseGeocoded"");
		bLocation.setLatitude(FindList.gpslat);
		bLocation.setLongitude(FindList.gpslong);
		Location aLocation = new Location(""reverseGeocoded"");
		aLocation.setLatitude(myLocation.getLatitudeE6());
		aLocation.setLongitude(myLocation.getLongitudeE6());
		aLocation.set(aLocation);
		bLocation.set(bLocation);

		int distance = (int) aLocation.distanceTo(bLocation);
		String str = "" ("" + String.valueOf(distance) + "" meters)"";
	}

	static final class FindList {
		public static int gpslat = 1;
		public static int gpslong = 1;
	}
}","Android11.java:6: error: cannot find symbol
public class Android11 extends MyLocationOverlay {
                               ^
  symbol: class MyLocationOverlay
Android11.java:13: error: method does not override or implement a method from a supertype
	@Override
	^
Android11.java:15: error: cannot find symbol
		super.drawMyLocation(canvas, mapView, lastFix, myLocation, when);
		^
  symbol:   variable super
  location: class Android11
3 errors
"
