code,compileable,Ground_Truth_Simple_Names,Ground_Truth_FQNs,without_import,filename
"package android;

import android.app.Activity;
import android.os.Bundle;

public class Android02 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);
		setContentView(R.layout.activity_list_item);
	}
}",True,"['Activity', 'Bundle']","['android.app.Activity', 'android.os.Bundle']","public class Android02 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);
		setContentView(R.layout.activity_list_item)
	}
}",Android02.java
"package android;
//ID = 26362

import android.graphics.drawable.Drawable;
import com.google.android.maps.GeoPoint;
import com.google.android.maps.ItemizedOverlay;
import com.google.android.maps.OverlayItem;

public class Android03 extends ItemizedOverlay<OverlayItem> {

	public Android03(Drawable defaultMarker) {
		super(defaultMarker);
		populate();
	}

	@Override
	protected OverlayItem createItem(int index) {
		Double lat = (index + 37.422006) * 1E6;
		Double lng = -122.084095 * 1E6;
		GeoPoint point = new GeoPoint(lat.intValue(), lng.intValue());

		OverlayItem oi = new OverlayItem(point, ""Marker"", ""Marker Text"");
		return oi;
	}

	@Override
	public int size() {
		return 5;
	}
}",True,"['Drawable', 'GeoPoint', 'ItemizedOverlay', 'OverlayItem']","['android.graphics.drawable.Drawable', 'com.google.android.maps.GeoPoint', 'com.google.android.maps.ItemizedOverlay', 'com.google.android.maps.OverlayItem']","public class Android03 extends ItemizedOverlay<OverlayItem> {

	public Android03(Drawable defaultMarker) {
		super(defaultMarker);
		populate();
	}

	@Override
	protected OverlayItem createItem(int index) {
		Double lat = (index + 37.422006) * 1E6;
		Double lng = -122.084095 * 1E6;
		GeoPoint point = new GeoPoint(lat.intValue(), lng.intValue());

		OverlayItem oi = new OverlayItem(point, ""Marker"", ""Marker Text"");
		return oi;
	}

	@Override
	public int size() {
		return 5;

}",Android03.java
"package android;
//ID = 151777

import android.app.Activity;
import android.os.Bundle;
import android.widget.TextView;

public class Android04 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);

		mTextView = new TextView(this);

		if (savedInstanceState == null) {
			mTextView.setText(""Welcome to HelloAndroid!"");
		} else {
			mTextView.setText(""Welcome back."");
		}

		setContentView(mTextView);
	}

	private TextView mTextView = null;
}",True,"['Activity', 'Bundle', 'TextView']","['android.app.Activity', 'android.os.Bundle', 'android.widget.TextView']","public class Android04 extends Activity {

	@Override
	public void onCreate(Bundle savedInstanceState) {
		super.onCreate(savedInstanceState);

		mTextView = new TextView(this);

		if (savedInstanceState == null)
			mTextView.setText(""Welcome to HelloAndroid!"");
		} else {
			mTextView.setText(""Welcome back."");
		}

		setContentView(mTextView);
	}

	private TextView mTextView = null;
}",Android04.java
"package android;
//ID = 36881

import android.graphics.drawable.Drawable;
import android.widget.TabHost;
import android.widget.TabHost.TabSpec;

public class Android05 {

	public static void main(String[] args) {
		TabHost mTabs = null;
		TabSpec ts = mTabs.newTabSpec(""tab"");
		Drawable iconResource = null;
		ts.setIndicator(""TabTitle"", iconResource);

		mTabs.addTab(ts);
		mTabs.getTabWidget().removeAllViews();
		mTabs.clearAllTabs();

	}

}",True,"['Drawable', 'TabHost', 'TabSpec']","['android.graphics.drawable.Drawable', 'android.widget.TabHost', 'android.widget.TabHost.TabSpec']","public class Android05 {

	public static void main(String[] args) {
		TabHost mTabs = null;
		TabSpec ts = mTabs.newTabSpec(""tab"");
		Drawable iconResource = null;
		ts.setIndicator(""TabTitle"", iconResource)

		mTabs.addTab(ts);
		mTabs.getTabWidget().removeAllViews();
		mTabs.clearAllTabs();

	}

}",Android05.java
"package android;

import android.view.Gravity;
import android.view.ViewGroup;
import android.widget.LinearLayout;


public class Android06 {

	public static void main(String[] args) {


		LinearLayout zoomView = null;

		zoomView.setLayoutParams(
				new ViewGroup.LayoutParams(ViewGroup.LayoutParams.WRAP_CONTENT, ViewGroup.LayoutParams.WRAP_CONTENT));

		zoomView.setGravity(Gravity.BOTTOM | Gravity.CENTER_HORIZONTAL);
	}

}",True,"['Gravity', 'ViewGroup', 'LinearLayout']","['android.view.Gravity', 'android.view.ViewGroup', 'android.widget.LinearLayout']","public class Android06 {

	public static void main(String[] args)


		LinearLayout zoomView = null;

		zoomView.setLayoutParams(
				new ViewGroup.LayoutParams(ViewGroup.LayoutParams.WRAP_CONTENT, ViewGroup.LayoutParams.WRAP_CONTENT));

		zoomView.setGravity(Gravity.BOTTOM | Gravity.CENTER_HORIZONTAL);
	}

}",Android06.java
"package android;

import android.app.Activity;
import android.os.Bundle;
import android.view.View;
import android.widget.ArrayAdapter;

//ID = 288044
public class Android07 extends Activity {

	String[] mainItems = { ""Inbox"", ""Projects"", ""Contexts"", ""Next Actions"" };

	@Override
	public void onCreate(Bundle icicle) {
		super.onCreate(icicle);
		setContentView(R.layout.activity_list_item);

		setListAdapter(new ArrayAdapter<String>(this, R.layout.simple_list_item_1, mainItems));
		registerForContextMenu(getListView());
	}

	private void setListAdapter(ArrayAdapter<String> arrayAdapter) {


	}

	private View getListView() {
		return null;
	}

}",True,"['Activity', 'Bundle', 'View', 'ArrayAdapter']","['android.app.Activity', 'android.os.Bundle', 'android.view.View', 'android.widget.ArrayAdapter']","public class Android07 extends Activity {

	String[] mainItems = { ""Inbox"", ""Projects"", ""Contexts"", ""Next Actions"" };

	@Override
	public void onCreate(Bundle icicle) {
		super.onCreate(icicle)
		setContentView(R.layout.activity_list_item);

		setListAdapter(new ArrayAdapter<String>(this, R.layout.simple_list_item_1, mainItems));
		registerForContextMenu(getListView());
	}

	private void setListAdapter(ArrayAdapter<String> arrayAdapter) {


	}

	private View getListView() {
		return null;
	}

}",Android07.java
"package android;

import android.util.Log;

import java.io.IOException;
import java.net.Inet4Address;
import java.net.InetAddress;
import java.net.Socket;
import java.net.UnknownHostException;

//ID = 442496
public class Android08 {

	private static final String TAG = ""TAG"";

	public static void main(String[] args) {


		try {
			InetAddress server = Inet4Address.getByName(""thehost"");


			if (server.isReachable(5000)) {
				Log.d(TAG, ""Ping!"");
			}

			Socket clientsocket = new Socket(server, 8080);
		} catch (UnknownHostException e) {
			Log.e(TAG, ""Server Not Found"");
		} catch (IOException e) {
			Log.e(TAG, ""Couldn't open socket"");
		}
	}

}",True,"['Log', 'IOException', 'Inet4Address', 'InetAddress', 'Socket', 'UnknownHostException']","['android.util.Log', 'java.io.IOException', 'java.net.Inet4Address', 'java.net.InetAddress', 'java.net.Socket', 'java.net.UnknownHostException']","public class Android08 {

	private static final String TAG = ""TAG"";

	public static void main(String[] args) {


		try {
			InetAddress server = Inet4Address.getByName(""thehost"");


			if (server.isReachable(5000)) {
				Log.d(TAG, ""Ping!"")
			}

			Socket clientsocket = new Socket(server, 8080);
		} catch (UnknownHostException e) {
			Log.e(TAG, ""Server Not Found"");
		} catch (IOException e) {
			Log.e(TAG, ""Couldn't open socket"");
		}
	}

}",Android08.java
"package android;
//ID = 522800

import android.os.Bundle;
import android.widget.TextView;

import java.util.Timer;
import java.util.TimerTask;

public class Android09 {
	float seconds;
	public Timer gametimer;

	void updatecount() {
		TextView t = (TextView) findViewById(R.id.copy);
		t.setText(""Score: 10 - Time: "" + seconds + "" seconds"");
		t.postInvalidate();
	}

	private TextView findViewById(int topscore) {

		return null;
	}

	public void onCreate(Bundle sis) {

		gametimer.schedule(new TimerTask() {
			public void run() {
				seconds += 0.1;
				updatecount();
			}
		}, 100, 100);
	}
}",True,"['Bundle', 'TextView', 'Timer', 'TimerTask']","['android.os.Bundle', 'android.widget.TextView', 'java.util.Timer', 'java.util.TimerTask']","public class Android09 {
	float seconds;
	public Timer gametimer;

	void updatecount() {
		TextView t = (TextView) findViewById(R.id.copy);
		t.setText(""Score: 10 - Time: "" + seconds + "" seconds"");
		t.postInvalidate()
	}

	private TextView findViewById(int topscore) {

		return null;
	}

	public void onCreate(Bundle sis) {

		gametimer.schedule(new TimerTask() {
			public void run() {
				seconds += 0.1;
				updatecount();
			}
		}, 100, 100);
	}
}",Android09.java
"package android;

import android.os.SystemClock;
import android.util.Log;
import android.widget.Chronometer;

//ID = 526524
public class Android10 {

	public static void main(String[] args) {


		Chronometer t = (Chronometer) findViewById(R.id.copy);
		long time = SystemClock.elapsedRealtime() - t.getBase();
		Log.d(null, ""Was: "" + time);
		t.setBase(SystemClock.elapsedRealtime());
		t.start();

	}

	private static Chronometer findViewById(int toptime) {

		return null;
	}

}",True,"['SystemClock', 'Log', 'Chronometer']","['android.os.SystemClock', 'android.util.Log', 'android.widget.Chronometer']","public class Android10 {

	public static void main(String[] args) {


		Chronometer t = (Chronometer) findViewById(R.id.copy);
		long time = SystemClock.elapsedRealtime() - t.getBase();
		Log.d(null, ""Was: "" + time)
		t.setBase(SystemClock.elapsedRealtime());
		t.start();

	}

	private static Chronometer findViewById(int toptime) {

		return null;
	}

}",Android10.java
"package android;
//ID = 531324

import android.content.Context;
import android.graphics.Canvas;
import android.location.Location;
import com.google.android.maps.GeoPoint;
import com.google.android.maps.MapView;
import com.google.android.maps.MyLocationOverlay;

public class Android11 extends MyLocationOverlay {

	public Android11(Context arg0, MapView arg1) {
		super(arg0, arg1);

	}

	@Override
	public void drawMyLocation(Canvas canvas, MapView mapView, Location lastFix, GeoPoint myLocation, long when) {
		super.drawMyLocation(canvas, mapView, lastFix, myLocation, when);

		Location bLocation = new Location(""reverseGeocoded"");
		bLocation.setLatitude(FindList.gpslat);
		bLocation.setLongitude(FindList.gpslong);
		Location aLocation = new Location(""reverseGeocoded"");
		aLocation.setLatitude(myLocation.getLatitudeE6());
		aLocation.setLongitude(myLocation.getLongitudeE6());
		aLocation.set(aLocation);
		bLocation.set(bLocation);

		int distance = (int) aLocation.distanceTo(bLocation);
		String str = "" ("" + String.valueOf(distance) + "" meters)"";
	}

	static final class FindList {
		public static int gpslat = 1;
		public static int gpslong = 1;
	}
}",True,"['Context', 'Canvas', 'Location', 'GeoPoint', 'MapView', 'MyLocationOverlay']","['android.content.Context', 'android.graphics.Canvas', 'android.location.Location', 'com.google.android.maps.GeoPoint', 'com.google.android.maps.MapView', 'com.google.android.maps.MyLocationOverlay']","public class Android11 extends MyLocationOverlay {

	public Android11(Context arg0, MapView arg1) {
		super(arg0, arg1);

	}

	@Override
	public void drawMyLocation(Canvas canvas, MapView mapView, Location lastFix, GeoPoint myLocation, long when) {
		super.drawMyLocation(canvas, mapView, lastFix, myLocation, when);

		Location bLocation = new Location(""reverseGeocoded"");
		bLocation.setLatitude(FindList.gpslat);
		bLocation.setLongitude(FindList.gpslong);
		Location aLocation = new Location(""reverseGeocoded"");
		aLocation.setLatitude(myLocation.getLatitudeE6());
		aLocation.setLongitude(myLocation.getLongitudeE6());
		aLocation.set(aLocation)
		bLocation.set(bLocation);

		int distance = (int) aLocation.distanceTo(bLocation);
		String str = "" ("" + String.valueOf(distance) + "" meters)"";
	}

	static final class FindList {
		public static int gpslat = 1;
		public static int gpslong = 1;
	}
}",Android11.java
